title,date,link,abstract
Portfolio perspectives: Positioning for a regime of higher volatility,"Aug 19, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/positioning-for-higher-macro-and-market-of-volatility,Our updated CMAs and strategic views are positioned for a new regime of greater macroeconomic and market volatility.
"Portfolio perspectives: Still stocks over bonds, but the gap narrows","May 30, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/still-stocks-over-bonds-for-the-long-term,2022 has seen big market moves. We stick to our strategic views preferring stocks over nominal government bonds. Read why in our latest Portfolio perspectives.
Navigating the new market regime,"Mar 28, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/global-investment-outlook,"Much has changed since our Q1 2022 outlook - a war, energy shock and the Federal Reserve’s pivot on monetary policy. We stay underweight bonds, even as yields have sprinted upward, and overweight equities. Read more in our Q2 2022 Global Outlook."
Russia invades Ukraine,"Mar 10, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/russia-ukraine-invasion-2022,We see Russia’s invasion of Ukraine as the start of protracted tensions between Russia and the West. What are the investment implications? Read our insights.
Portfolio perspectives: Confusion yields opportunity,"Feb 23, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/confusion-yields-opportunity,"Amid the market confusion so far this year, we see an opportunity to add to our overweight to developed market equities on a strategic horizon. Read why."
Portfolio perspectives: What could go wrong?,"Nov 30, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/what-could-go-wrong,We assess how different the path of interest rates and the outlook on China would need to be to challenge our asset views
How to finance the net-zero transition in emerging markets,"Oct 29, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/financing-the-net-zero-transition,"Countries have a stake in avoiding mounting climate risk, but emerging markets will play a key role in the net-zero transition. Dive deeper in this featured insight from the BlackRock Investment Institute."
Portfolio perspectives: Getting granular,"Aug 16, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/getting-granular,"Our overweight on developed market equities is further bolstered by a more granular, sectoral approach. Learn more in the August 2021 Portfolio perspectives."
In depth: The new nominal: just getting started,"May 25, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/strategic-investments-for-the-new-nominal,The interplay between monetary and fiscal policy has dominated the post-Covid macro environment. Read more on how it informs our strategic investment views.
In depth: The case for Chinese assets,"May 5, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/investing-in-chinese-assets,"China’s economy and capital markets have rapidly grown to become the 2nd largest in the world, yet foreign investors own just 3% of its equities and bonds. Read more."
Launching climate-aware portfolios,"Feb 25, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/investing-in-climate-awareness,"We believe climate risk is investment risk. That is why we are incorporating it into our portfolio design, as part of a series of actions BlackRock is taking to prepare for a net-zero world."
